NLab,Year,Densidad,Sexo,Edad,EdadClase,CondicionCorporal,ELISAInfluenza,ELISAPRRS,ELISAADV,ELISAPPV,ELISAPCV,ELISAPCV2,PCRMycoPul,PCRHaemoPul,PCRAPPPul,PCRPCVPul,Metastronguilus_Clas,Metastrongilus,Lesion_Pulm,Tipo,Duracion,Score,NL_TRQ,NIntersticial,Bronconeumonia,Pleuritis,Peribronquitis,Bronquitis,HiperNT2,Enfisema,Necrosis,Score_Micro,Tej_Conjuntivo,Granulomas,Granuloma_Pul,Tipo_Granuloma,Granuloma_NL,TB_Generalizada,TB
2305,2011-2012,25.5,Macho,5.0,Adult,10.04291148,Positivo,Negativo,Positivo,Positivo,Positivo,Positivo,Negativo,Negativo,Negativo,Negativo,Negativo,0.0,Si,Lob,Subaguda,1.0,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,No,,No,,Negativo
2371,2011-2012,23.0,Hembra,4.0,Adult,18.84636082,Negativo,Negativo,Positivo,Positivo,Positivo,Positivo,Negativo,Negativo,Negativo,Negativo,Negativo,0.0,No,,,,0.0,,,,,,,,,,,,,,,,
1798,2011-2012,8.0,Hembra,1.8,NonAdult,-11.97433522,Negativo,Negativo,Positivo,Positivo,Positivo,Positivo,Positivo,Negativo,Negativo,Positivo,Negativo,0.0,No,,,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,No,,Si,Positivo,Positivo
1799,2011-2012,8.0,Macho,4.0,Adult,,Negativo,Negativo,Positivo,Positivo,Positivo,Positivo,Positivo,Negativo,Negativo,Negativo,Negativo,0.0,No,,,,1.0,0.0,0.0,2.0,4.0,4.0,0.0,0.0,0.0,10.0,0.0,0.0,No,,Si,Positivo,Positivo
2283,2011-2012,13.0,Hembra,2.5,Adult,-3.95708852,Negativo,Negativo,Positivo,Positivo,Positivo,Positivo,Positivo,Negativo,Negativo,Negativo,Negativo,0.0,No,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,No,,Si,Positivo,Positivo
2325,2011-2012,25.0,Hembra,0.9,NonAdult,0.522246282,Positivo,Negativo,Positivo,Positivo,Positivo,Positivo,Negativo,Negativo,Negativo,Positivo,Negativo,0.0,Si,Lob,Aguda,8.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,No,,Si,Positivo,Positivo
2330,2011-2012,25.0,Hembra,2.0,Adult,12.84636082,Positivo,Negativo,Positivo,Positivo,Positivo,Positivo,Negativo,Negativo,Negativo,Positivo,Negativo,0.0,Si,Lob,Subaguda,3.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,,1.0,0.0,No,,Si,Positivo,Positivo
2336,2011-2012,25.0,Hembra,1.4,NonAdult,-7.101899092000001,Negativo,Negativo,Negativo,Positivo,Positivo,Positivo,Positivo,Negativo,Negativo,Positivo,Negativo,0.0,Si,Lob,Subaguda,12.0,2.0,1.0,0.0,1.0,6.0,2.0,0.0,1.0,0.0,,0.0,0.0,No,,Si,Positivo,Positivo
1772,2011-2012,24.0,Macho,1.5,NonAdult,3.684303551,Negativo,Negativo,Positivo,Negativo,Negativo,Negativo,Positivo,Negativo,Negativo,Negativo,Positivo,1.0,No,,,,2.0,4.0,0.0,4.0,5.0,0.0,0.0,1.0,0.0,13.0,0.0,0.0,No,,Si,Positivo,Positivo
2387,2011-2012,6.5,Macho,1.0,NonAdult,-14.70879777,Negativo,Negativo,Positivo,Positivo,Positivo,Positivo,Negativo,Negativo,Negativo,Negativo,Positivo,1.0,No,,,,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,0.0,3.0,Si,2,Si,Generalizada,Positivo
