Nlab;Sexo;Edad;Mhyo;ADV;SIV;HPS;APP;PCV;PM;Metastrongylus;NIntersticial;Bronconeumonia;Peribronquitis;Bronquitis;Necrosis;TB
2306;Macho;6;Negativo;Negativo;Positivo;Negativo;Negativo;Positivo;Negativo;1;0;0;0;0;0;Negativo
2307;Macho;5.5;Negativo;Negativo;Positivo;Negativo;Negativo;Negativo;Negativo;2;4;0;1;0;0;Positivo
2308;Macho;3;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;2;2;0;3;0;1;Positivo
2309;Macho;5;Negativo;Negativo;Negativo;Negativo;Negativo;Positivo;Negativo;1;0;0;3;0;0;Negativo
2310;Macho;4;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;3;1;0;2;3;0;Negativo
2311;Macho;5;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;0;0;0;1;0;0;Negativo
2314;Macho;2.5;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;2;1;0;4;0;0;Negativo
2315;Hembra;3;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;0;0;0;0;0;0;Negativo
2316;Macho;0.7;Positivo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;1;3;0;4;3;0;Negativo
2325;Hembra;0.9;Negativo;Negativo;Positivo;Negativo;Negativo;Positivo;Negativo;0;0;0;4;0;0;Positivo
2330;Hembra;2;Negativo;Positivo;Positivo;Negativo;Negativo;Positivo;Negativo;0;0;0;4;1;0;Positivo
2331;Hembra;2;Positivo;Negativo;Positivo;Negativo;Negativo;Positivo;Negativo;2;0;0;6;4;0;Positivo
2336;Hembra;1.4;Negativo;Negativo;Negativo;Negativo;Negativo;Positivo;Negativo;0;1;0;6;2;0;Positivo
2351;Hembra;3;Positivo;Negativo;Positivo;Negativo;Negativo;Negativo;Negativo;2;0;4;0;1;0;Negativo
2353;Hembra;0.9;Positivo;Negativo;Negativo;Negativo;Negativo;Positivo;Negativo;32;0;0;5;0;0;Negativo
2356;Hembra;3.5;Positivo;Negativo;Positivo;Negativo;Negativo;Negativo;Negativo;0;0;0;1;0;0;Positivo
2363;Hembra;4;Negativo;;Positivo;Negativo;Negativo;Negativo;Negativo;0;0;0;1;1;0;Negativo
